route_name,route_index,stop_id,stop_name,original_latitude,original_longitude,snapped_latitude,snapped_longitude,formatted_address,place_id,search_query
Senthamangalam,113,stop3,Illuppaithandalam,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Illuppaithandalam, Senthamangalam, Chennai"
Senthamangalam,113,stop4,Parameswaramangalam,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Parameswaramangalam, Senthamangalam, Chennai"
Senthamangalam,113,stop5,Thakkolam koot Road,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Thakkolam koot Road, Senthamangalam, Chennai"
Senthamangalam,113,stop6,Kadambanallur,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Kadambanallur, Senthamangalam, Chennai"
Senthamangalam,113,stop7,Naidu Mess,11.2813371,78.2357948,11.281337369260587,78.23579321256062,"Senthamangalam, Tamil Nadu 637409, India",ChIJuU2u6ZrIqzsRHn2_BthPnhA,"Naidu Mess, Senthamangalam, Chennai"
Senthamangalam,113,stop8,Thakkolam E.B,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Thakkolam E.B, Senthamangalam, Chennai"
Senthamangalam,113,stop9,Thakkolam Bazzar(Up),13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Thakkolam Bazzar(Up), Senthamangalam, Chennai"
Senthamangalam,113,stop10,Thakkolam Bazzar(Down),13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Thakkolam Bazzar(Down), Senthamangalam, Chennai"
Senthamangalam,113,stop11,Thakkolam Petrol Bunk,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Thakkolam Petrol Bunk, Senthamangalam, Chennai"
Senthamangalam,113,stop12,Perampakkam,12.8923157,80.1888917,12.892331634557866,80.18889634765986,"Perumbakkam, Chennai, Tamil Nadu 600131, India",ChIJz5kzWA5cUjoRMCrjHpSgGRM,"Perampakkam, Senthamangalam, Chennai"
Senthamangalam,113,stop13,Kattu koot Road,11.2813371,78.2357948,11.281337369260587,78.23579321256062,"Senthamangalam, Tamil Nadu 637409, India",ChIJuU2u6ZrIqzsRHn2_BthPnhA,"Kattu koot Road, Senthamangalam, Chennai"
Sholingur,114,stop1,Sholingur Bus Stand,12.9683412,80.19615540000001,12.96834138347783,80.19627397373185,"Bus Stand, 120, Ponniamman Koil St, Ram Nagar, Near, Ottiyambakkam, Chennai, Tamil Nadu 600130, India",ChIJY1i3VOZdUjoRhxNnqMdYYMA,"Sholingur Bus Stand, Sholingur, Chennai"
Sholingur,114,stop2,Karumaiamman Koil,12.9039041,80.195932,12.9039041,80.195932,"Karumariamman Kovil St, Chennai, Tamil Nadu 600100, India",ChIJ68-hzQVcUjoRMwYTvKH2beo,"Karumaiamman Koil, Sholingur, Chennai"
Sholingur,114,stop3,Anjaneyar Kovil,12.982891,80.192087,12.982891956337566,80.19206129977135,"Anjaneyar Kovil, 2nd Main Rd, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu 600061, India",ChIJs0Xxo_5dUjoRWtTgh_npdY0,"Anjaneyar Kovil, Sholingur, Chennai"
Sholingur,114,stop4,Sholigur Textile Mill,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Sholigur Textile Mill, Sholingur, Chennai"
